0.83318,1.2696,1.4306,1.0767,0.63563,-1.8794,0.70477,0.7414,1.2927,-0.06259,0.21594,-1.2996,0.9178,0.98922,1.4529,0.93059,0.56266,-1.7796
0.82823,1.2693,1.4377,1.0942,0.64464,-1.8708,0.70502,0.74078,1.2927,-0.064676,0.21517,-1.2998,0.91578,0.98971,1.4549,0.94471,0.57713,-1.7806
0.81706,1.2685,1.4512,1.1269,0.67554,-1.8784,0.70515,0.74048,1.2931,-0.060324,0.21434,-1.294,0.91135,0.99074,1.459,0.97268,0.59655,-1.7872
0.80163,1.2662,1.4665,1.1574,0.70679,-1.8572,0.70527,0.73847,1.2929,-0.069571,0.21279,-1.2898,0.90532,0.99199,1.4638,0.99986,0.62425,-1.7806
0.79177,1.2646,1.4749,1.1744,0.73662,-1.8645,0.70492,0.73787,1.293,-0.071845,0.21304,-1.2895,0.90147,0.99283,1.4664,1.0116,0.63929,-1.7719
0.77462,1.2614,1.4871,1.1917,0.75855,-1.7974,0.70431,0.73694,1.2927,-0.079534,0.21357,-1.2499,0.89469,0.99458,1.4701,1.0231,0.67013,-1.7527
0.76073,1.2589,1.4945,1.1996,0.7835,-1.7576,0.70558,0.74158,1.293,-0.035275,0.2025,-1.2644,0.88898,0.99605,1.472,1.03,0.69583,-1.7454
0.74992,1.2562,1.4981,1.2089,0.80823,-1.7509,0.70571,0.74383,1.2923,-0.032641,0.20141,-1.2589,0.88467,0.9971,1.473,1.0323,0.71906,-1.7403
0.73054,1.2513,1.4999,1.1922,0.85636,-1.7303,0.70537,0.7447,1.2921,-0.022943,0.19862,-1.2396,0.8768,0.99853,1.4737,1.0122,0.74877,-1.7046
0.71825,1.2478,1.498,1.1627,0.89005,-1.704,0.70492,0.74377,1.292,-0.027831,0.19917,-1.2287,0.87235,0.99945,1.4733,0.99188,0.76227,-1.6743
0.70231,1.2426,1.4887,1.1136,0.97309,-1.802,0.70427,0.74245,1.2918,-0.027427,0.19799,-1.216,0.86627,1.0007,1.4707,0.94844,0.77846,-1.6298
0.69111,1.2392,1.4778,1.0484,0.99961,-1.767,0.70302,0.73794,1.2925,-0.039266,0.20067,-1.1968,0.86202,1.0017,1.4672,0.90753,0.7868,-1.5924
0.6838,1.2368,1.4676,0.99084,1.0102,-1.7225,0.70255,0.73382,1.2933,-0.0517,0.2003,-1.1906,0.85907,1.0023,1.4637,0.87027,0.79399,-1.5659
0.67437,1.234,1.4475,0.88753,1.026,-1.6692,0.70202,0.73362,1.2934,-0.052411,0.2003,-1.1766,0.85527,1.0038,1.4572,0.80477,0.79279,-1.5223
0.67007,1.2327,1.4346,0.82305,1.0342,-1.6542,0.70166,0.73306,1.2933,-0.055795,0.20086,-1.1683,0.85317,1.0047,1.4532,0.76067,0.78852,-1.4931
0.66583,1.231,1.4114,0.71398,1.0322,-1.619,0.70117,0.7323,1.2931,-0.06361,0.20134,-1.1534,0.85075,1.0061,1.446,0.69889,0.77562,-1.4583
0.66504,1.2303,1.3927,0.64313,1.019,-1.5975,0.70072,0.73209,1.2931,-0.068486,0.20186,-1.1443,0.84976,1.0075,1.4403,0.64909,0.75982,-1.4328
0.66553,1.2302,1.3819,0.60969,1.0006,-1.5671,0.70021,0.73057,1.2928,-0.087325,0.2051,-1.1426,0.84985,1.0083,1.4372,0.61846,0.74666,-1.4108
0.66923,1.2304,1.3606,0.53693,0.96518,-1.5376,0.69949,0.72958,1.292,-0.11413,0.20776,-1.1358,0.85026,1.0097,1.431,0.56624,0.72491,-1.387
0.67292,1.2309,1.3484,0.50387,0.93588,-1.5127,0.69912,0.72983,1.2921,-0.11266,0.20763,-1.1319,0.8508,1.0104,1.4275,0.53878,0.71108,-1.3769
0.68144,1.2326,1.33,0.47049,0.89154,-1.5091,0.69842,0.73085,1.2919,-0.1238,0.209,-1.1276,0.85311,1.0118,1.4225,0.50361,0.67767,-1.3627
0.69025,1.2344,1.3174,0.45358,0.87237,-1.553,0.69797,0.73184,1.2919,-0.12373,0.20905,-1.1268,0.85578,1.012,1.4187,0.46521,0.65827,-1.3431
0.69791,1.2351,1.3084,0.43646,0.84865,-1.5511,0.69803,0.73277,1.2916,-0.12455,0.20745,-1.1309,0.85811,1.0124,1.4166,0.45283,0.64105,-1.3478
0.71275,1.2374,1.2957,0.44366,0.77567,-1.4898,0.69812,0.73433,1.2911,-0.12822,0.20519,-1.1433,0.86274,1.0127,1.4134,0.4386,0.61045,-1.3643
