0.87795,0.22233,-0.094776,0.41327,0.52222,0.070002,-0.26877,0.80632
0.89781,0.19075,-0.12996,0.37505,0.53691,0.094845,-0.27928,0.79041
0.90269,0.17822,-0.12676,0.37057,0.54546,0.10553,-0.2932,0.77805
0.92027,0.13975,-0.1424,0.33658,0.55105,0.094985,-0.32218,0.76389
0.92347,0.12824,-0.13184,0.33672,0.55805,0.097963,-0.34206,0.74965
0.93361,0.10002,-0.12908,0.31891,0.55656,0.065962,-0.37884,0.73646
0.9395,0.080635,-0.12722,0.30766,0.55692,0.055099,-0.40093,0.7253
0.94564,0.057623,-0.1246,0.29482,0.57034,0.045385,-0.421,0.70386
0.95413,0.026439,-0.11963,0.27317,0.59439,0.039869,-0.44984,0.6654
0.96551,-0.015349,-0.11313,0.23398,0.58683,0.009582,-0.48686,0.64692
0.97304,-0.048833,-0.10931,0.19713,0.61711,0.0042054,-0.50407,0.60421
0.97297,-0.054726,-0.097631,0.20201,0.61731,-0.014506,-0.52334,0.58722
0.97778,-0.08538,-0.080239,0.17384,0.61635,-0.045767,-0.55723,0.55453
0.97368,-0.081307,-0.068738,0.20151,0.63783,-0.062736,-0.56925,0.51496
0.9751,-0.10574,-0.055699,0.18681,0.66615,-0.10373,-0.5808,0.45623
0.97472,-0.11322,-0.046123,0.18699,0.68927,-0.14356,-0.5879,0.39834
0.97776,-0.1304,-0.032932,0.16094,0.69833,-0.1747,-0.59366,0.3597
0.97366,-0.13287,-0.022832,0.18386,0.69072,-0.20143,-0.60669,0.33801
0.96893,-0.12819,-0.021666,0.21042,0.69999,-0.23769,-0.60411,0.29761
0.97097,-0.14048,-0.014391,0.19308,0.70977,-0.28963,-0.59432,0.24316
0.97339,-0.16191,0.00026122,0.16215,0.69703,-0.29117,-0.60478,0.25221
0.97584,-0.17606,0.0136,0.12864,0.69181,-0.30606,-0.60645,0.24486
0.97564,-0.18213,0.019275,0.1208,0.6965,-0.34052,-0.59315,0.21706
0.97544,-0.18466,0.021874,0.11804,0.69989,-0.3552,-0.58346,0.20872
0.97486,-0.18779,0.019419,0.11833,0.69206,-0.35571,-0.58753,0.22211
0.97453,-0.18938,0.015332,0.11916,0.69459,-0.36137,-0.57865,0.22832
0.9752,-0.19376,0.015026,0.1059,0.69669,-0.35874,-0.57059,0.24567
0.97514,-0.19142,0.01043,0.11117,0.69489,-0.34677,-0.57004,0.2682
0.97552,-0.19555,0.0065314,0.10041,0.70737,-0.34975,-0.55099,0.27149
0.97598,-0.19026,-0.002454,0.10606,0.6988,-0.33448,-0.55593,0.30124
0.9756,-0.18521,-0.014439,0.11697,0.69177,-0.32097,-0.54984,0.34074
0.97509,-0.16696,-0.034032,0.142,0.67647,-0.31035,-0.54901,0.38034
0.97557,-0.17585,-0.039557,0.1256,0.68671,-0.30456,-0.52604,0.39868
0.97672,-0.1676,-0.054129,0.12247,0.67855,-0.29844,-0.50845,0.43816
0.97603,-0.16134,-0.065345,0.13065,0.69303,-0.28716,-0.48307,0.45155
0.97708,-0.13902,-0.078934,0.14057,0.70535,-0.27585,-0.45648,0.46691
0.97458,-0.12206,-0.089903,0.16498,0.69516,-0.27631,-0.43859,0.49804
0.97755,-0.12811,-0.095318,0.13744,0.70396,-0.26894,-0.4128,0.51157
0.97778,-0.12469,-0.10059,0.13519,0.65716,-0.29128,-0.41838,0.55521
0.97855,-0.12671,-0.10405,0.12474,0.66217,-0.28503,-0.38761,0.57449
