10.92,-3.1976,30.509,-1.7213,34.483
12.692,-5.3875,31.14,-1.5826,35.271
13.261,-6.3901,32.196,-1.5946,34.889
13.658,-7.093,33.296,-1.6647,34.802
13.986,-7.773,33.52,-1.703,34.717
14.337,-7.9187,33.707,-1.5454,34.651
15.084,-8.2073,33.438,-1.4159,34.765
15.325,-8.1117,33.736,-1.4039,34.921
15.242,-8.0013,34.302,-1.4173,33.91
15.343,-7.8292,34.043,-1.4297,33.495
15.699,-7.3186,33.692,-1.5936,32.15
16.123,-6.5899,33.838,-1.9484,29.651
16.48,-5.9052,33.741,-2.3184,25.983
16.693,-4.7796,32.915,-2.3915,21.794
17.245,-2.3851,30.132,-2.0671,16.638
18.498,0.14655,29.946,-1.9166,7.6516
19.35,2.0044,30.95,-1.4681,-0.97534
20.925,4.3297,31.931,-1.066,-10.244
21.819,5.8784,31.782,-0.49269,-15.43
22.916,7.7638,30.378,-0.031387,-19.875
23.839,9.1597,29.226,1.5733,-23.767
24.526,10.156,28.93,1.8397,-25.14
25.028,10.778,27.639,2.3949,-27.391
25.38,10.95,27.347,3.6554,-28.546
25.277,10.976,26.831,3.9569,-28.142
24.97,11.179,25.332,4.0646,-23.6
25.189,11.309,25.825,3.2802,-23.274
26.229,11.128,28.051,1.7994,-29.196
26.056,10.727,27.532,1.6113,-25.369
25.779,10.354,27.178,2.1521,-23.008
25.514,10.03,26.864,1.7898,-22.857
24.83,9.1816,26.007,2.1993,-21.769
23.421,7.8103,24.563,0.61974,-15.002
22.143,6.3446,24.006,-0.53643,-10.67
21.198,4.2123,23.64,-1.1022,-1.6084
20.041,1.6522,22.022,-1.5011,8.7898
19.409,-0.56355,21.956,-1.3768,15.404
19.275,-3.13,22.57,-1.6461,24.373
18.968,-6.7248,25.823,-2.0929,32.378
19.2,-9.7218,29.56,-2.1016,38.83
18.369,-11.664,33.734,-2.4995,39.568
18.447,-12.51,34.058,-2.5311,42.281
18.468,-12.726,34.167,-2.6234,43.134
18.562,-12.88,34.451,-2.8678,43.183
18.277,-12.927,34.554,-2.8064,42.757
17.327,-12.995,32.663,-2.713,43.14
16.179,-13.08,29.174,-2.2085,45.964
14.24,-13.513,22.786,-1.5379,50.83
13.151,-14.144,17.876,-0.81086,54.561
11.807,-14.891,11.329,0.56464,59.839
11.379,-15.301,8.2575,1.1622,62.355
11.499,-15.205,7.2029,1.2787,63.417
12.501,-14.257,7.1549,1.1073,63.721
14.787,-12.688,11.859,-0.42299,59.52
16.226,-11.633,19.899,-1.8052,50.454
18.044,-10.502,30.044,-3.186,34.301
18.809,-8.6476,30.658,-3.315,27.781
18.07,-6.4352,29.582,-3.0423,18.963
18.071,-4.6891,28.269,-2.7711,13.745
18.681,-1.9787,24.675,-2.192,8.6364
18.971,-0.52313,24.533,-1.9837,2.1195
19.645,1.1392,27.255,-1.0174,-8.2338
20.45,3.4506,26.821,-0.55432,-16.212
21.372,4.8265,26.971,-0.31028,-20.758
22.184,5.5605,27.138,4.9953,-28.626
22.887,6.0384,24.285,11.436,-37.089
23.485,6.2829,23.69,13.251,-41.399
23.949,6.7398,23.025,13.232,-41.081
24.231,8.0437,22.834,9.1246,-34.835
24.224,8.5098,23.73,4.8003,-28.609
24.722,8.402,25.766,2.4601,-27.494
24.681,8.3983,26.088,1.2964,-27.368
24.631,8.2332,25.89,1.3483,-26.253
24.466,8.0587,25.628,1.4217,-25.172
24.211,7.9661,25.993,2.1888,-26.834
23.7,7.4228,25.875,1.9141,-25
22.443,6.3826,24.775,0.85161,-18.254
21.813,5.3515,24.333,-0.74048,-12.148
20.939,4.2557,23.097,-1.0659,-6.2278
20.072,2.1796,21.229,-1.701,6.1359
19.61,0.36236,19.855,-1.9948,14.116
19.26,-2.8811,22.993,-2.4182,21.054
19.493,-5.2926,23.883,-2.7797,29.974
19.815,-7.9726,27.149,-2.9948,35.548
20.085,-9.1643,28.052,-2.9743,38.676
20.379,-10.287,28.61,-2.7807,42.977
20.385,-10.957,30.536,-2.8922,43.38
20.534,-11.066,30.726,-2.8879,43.969
20.599,-11.159,31.105,-2.9027,44.069
20.59,-11.051,31.351,-3.1451,43.599
20.637,-11.049,31.47,-3.2278,43.532
20.833,-10.963,31.387,-3.5175,43.463
20.691,-10.906,31.232,-3.5012,43.15
20.691,-10.866,31.059,-3.4373,43.354
20.665,-10.859,30.919,-3.4227,43.602
20.649,-10.767,30.745,-3.3185,43.037
20.653,-10.662,30.636,-3.287,42.604
20.623,-10.365,30.454,-3.2768,41.147
20.572,-9.9082,30.205,-3.3992,39.281
20.06,-9.0994,29.603,-3.5439,34.908
20.003,-7.7988,29.198,-3.7936,29.797
19.688,-6.0802,26.918,-3.5381,26.234
19.799,-3.762,27.645,-3.5944,15.215
20.324,-0.92228,24.229,-3.0914,8.7899
20.734,0.48209,24.021,-2.7305,3.902
21.127,1.5379,26.327,-2.5407,-3.4698
21.528,3.0815,27.665,-2.1249,-10.76
22.643,5.0062,27.843,-2.1772,-17.798
23.451,6.2952,27.846,-1.0275,-20.858
24.368,7.8018,27.566,0.42537,-22.355
