0.4646,0.0582,0.0182,0.8834,18.5,12.188,58.5,-1.18,-0.37,-3.66,0.4785,0.2722,0.4021,0.7316,0.1875,48.25,19.125,-0.66,-0.74,0.05,0.7231,-0.1921,-0.6282,-0.2134,41.563,-7.8125,0.1875,0.3,-0.18,-0.12
0.4496,0.0554,0.0233,0.8912,12.813,26.625,60.375,-1.07,-1.02,-3.44,0.4687,0.2613,0.41,0.7375,2.8125,51.75,8.6875,-0.51,-0.33,0.38,0.7254,-0.1832,-0.6312,-0.2045,38.375,1.0625,2.4375,0.17,0.04,0.05
0.4308,0.047,0.032,0.9006,18.188,42.688,58.688,-0.86,-1.43,-2.44,0.4615,0.2478,0.4196,0.7413,3.6875,54.5,-4.625,-0.69,-0.2,0.7,0.7289,-0.1764,-0.6312,-0.1976,28.5,10.063,4.4375,0.01,0,0.23
0.4128,0.0333,0.0434,0.9092,4.3125,58.875,52.438,-0.91,-1.56,-1.34,0.4566,0.2322,0.4291,0.7439,-0.75,55.25,-12.688,-0.52,0.2,0.45,0.7328,-0.1711,-0.6302,-0.1914,21.438,7.625,6.875,0.29,0.11,0.11
0.3936,0.0112,0.0544,0.9176,0.25,61.688,44,-1.32,-1.99,-0.89,0.4546,0.215,0.438,0.7452,-0.9375,50.313,-26.063,-0.93,-0.27,1.24,0.7361,-0.1673,-0.6287,-0.1868,16.375,7.125,6.5,0.14,0.14,0
0.3806,-0.0058,0.0678,0.9222,18,65.125,38.063,-1.2,-1.35,-0.93,0.4544,0.1991,0.4499,0.7426,11.25,47.688,-34.438,-0.7,0.2,1.19,0.7391,-0.1651,-0.6268,-0.1834,9.375,10.938,6.5625,0.17,0.21,0.08
0.3712,-0.0212,0.0779,0.925,9.625,78.438,34.875,-1.18,-1.14,-0.59,0.4571,0.1827,0.4604,0.7387,2.875,44.188,-39.25,-0.8,0.81,1.51,0.7422,-0.1641,-0.624,-0.1812,5.4375,10.5,6.5,0.19,0.15,0.07
0.3599,-0.0451,0.0859,0.9279,-9.875,74.813,25.313,-0.88,-1.89,0.13,0.4602,0.168,0.4659,0.7369,-14.625,45.625,-44.75,-0.61,0.93,1.06,0.7448,-0.1642,-0.6214,-0.1794,3.0625,9,7.25,0.18,0.09,0.17
0.3531,-0.0678,0.0945,0.9283,2.3125,71.563,12,-1.21,-1.97,0.74,0.4681,0.1428,0.4714,0.7336,-15.688,38.75,-47.25,-1.05,0.5,1.51,0.7466,-0.1663,-0.6191,-0.1777,-3,6,10.313,0.2,0.12,0.2
0.3496,-0.0937,0.1039,0.9264,-2.625,64.438,0.0625,-1.03,-2.05,1.77,0.4756,0.1269,0.4771,0.728,-0.875,26.875,-49.625,-0.76,0.49,1.22,0.7485,-0.1695,-0.6163,-0.1768,-7.5,7.75,10.75,0.2,0.21,0.11
0.3519,-0.1107,0.1133,0.9225,13.25,54.438,-14.563,-1.14,-2.63,1.88,0.4844,0.1152,0.4842,0.7195,12.813,14.25,-49.563,-1.06,1.05,1.77,0.7504,-0.1736,-0.6127,-0.1771,-12.625,9.6875,10.063,0.06,0.03,-0.03
0.3571,-0.1203,0.123,0.9181,25.688,45.5,-28.625,-1.18,-1.91,2.05,0.4956,0.1081,0.4904,0.7087,13.875,5.75,-50.438,-0.91,1.14,2.06,0.7512,-0.1791,-0.6099,-0.1782,-15.688,4.25,9.125,0.09,0.03,0.1
0.367,-0.1323,0.1328,0.9111,16.688,39,-39,-1.17,-1.85,2.12,0.5048,0.1028,0.4928,0.7012,8,-3.25,-51.188,-0.66,1.11,1.82,0.7507,-0.1855,-0.6078,-0.1804,-20.063,0.875,7.6875,0.13,0.05,0.03
0.38,-0.1427,0.1393,0.9033,11.75,29.938,-49.375,-1.15,-1.38,2.25,0.5217,0.0966,0.4918,0.6904,5.125,-14.125,-46.25,-0.73,1.48,1.62,0.7501,-0.1927,-0.6053,-0.1841,-26.188,1.3125,5.6875,0.16,0.09,0.03
0.4006,-0.153,0.1415,0.8923,4.8125,18.375,-57.313,-0.94,-1.25,2.51,0.5356,0.0948,0.4907,0.6807,8.125,-20.625,-42.125,-0.51,0.93,1.27,0.7479,-0.2015,-0.6036,-0.189,-33.625,-0.875,4.5,0.24,0.03,0.07
0.4202,-0.1558,0.143,0.8824,17.813,-1.1875,-66.25,-1.1,-0.82,2.33,0.5483,0.0977,0.4902,0.6704,20.25,-32.188,-35.5,-0.65,1.07,1.32,0.7455,-0.2111,-0.6013,-0.1953,-39.375,3.25,2.6875,0.1,-0.1,0.01
0.4365,-0.1541,0.1445,0.8745,24.5,-10.563,-68.188,-0.74,-0.22,2.14,0.5576,0.1036,0.4905,0.6617,30.25,-37.813,-30.438,-0.38,1.65,1.36,0.7426,-0.2217,-0.5985,-0.2032,-43.438,0.125,1.4375,0.17,-0.11,0.11
0.4583,-0.1503,0.1437,0.8641,12.563,-17.625,-68.063,-0.58,0.29,2.26,0.5691,0.1133,0.4895,0.6509,24.188,-41,-22.563,-0.22,1.86,1.1,0.739,-0.2328,-0.5957,-0.2119,-43.938,1,0.1875,0.19,-0.15,0.01
0.4796,-0.1444,0.1394,0.8542,10.938,-30.875,-66.563,-0.57,1.08,2.42,0.581,0.127,0.4862,0.6403,20.625,-42.75,-14.313,-0.23,1.67,1.05,0.7344,-0.2436,-0.5939,-0.2205,-44.813,-6.75,-3,0.3,-0.26,0.16
0.5034,-0.1312,0.1347,0.8433,22.375,-38.25,-52.438,-0.26,1.95,2.14,0.5885,0.1407,0.4821,0.6337,23.75,-45.313,0.375,-0.07,2.45,0.78,0.7297,-0.2539,-0.5919,-0.2296,-40.25,-1.9375,-4.875,0.2,-0.37,0.25
0.5184,-0.1188,0.1306,0.8367,10.125,-41.875,-38.5,-0.2,2.15,2.1,0.5936,0.153,0.4753,0.6311,4.4375,-44.688,7.875,0.12,2.11,0.65,0.726,-0.2618,-0.59,-0.2372,-30.25,-5.375,-6.875,0.33,-0.35,-0.02
0.5258,-0.11,0.124,0.8344,0.3125,-47.75,-30,0.14,1.88,1.76,0.5967,0.1619,0.4688,0.6308,3.625,-43.188,13.875,0.24,1.94,0.6,0.7227,-0.2676,-0.5887,-0.2438,-26.625,-0.375,-6.75,0.3,-0.28,0.05
0.5344,-0.097,0.1141,0.8318,-1.1875,-50.875,-19.438,0.15,1.88,1.6,0.5992,0.1754,0.4599,0.6315,6.875,-43.5,23.25,0.34,1.87,0.47,0.7202,-0.2721,-0.5872,-0.2498,-22.625,-1,-6.6875,0.25,-0.24,0.17
0.54,-0.083,0.1034,0.8312,-1.9375,-54.313,-13.125,0.21,1.55,1.55,0.5983,0.1935,0.4491,0.6347,3.5625,-38.875,32.125,0.62,1.82,0.17,0.7192,-0.2739,-0.5856,-0.2543,-11.938,4.25,-6.4375,0.24,-0.1,0.16
0.545,-0.0629,0.088,0.8314,-3.25,-62.313,-8.1875,0.39,1.66,0.7,0.5947,0.2076,0.4406,0.6396,4.8125,-35.438,40.25,0.49,1.61,0.17,0.7192,-0.274,-0.5842,-0.2576,-4.1875,6.5625,-5.25,0.21,-0.09,0.15
0.5468,-0.046,0.075,0.8326,-5.5625,-63.938,1.25,0.3,1.65,0.02,0.5881,0.2218,0.4333,0.6459,8.8125,-28.25,46.125,0.28,1.5,-0.05,0.7201,-0.2726,-0.583,-0.2593,3.75,3.1875,-5,0.04,-0.14,0.15
0.5461,-0.033,0.0662,0.8345,1,-61.438,7.0625,0.33,1.93,0.31,0.582,0.2329,0.4282,0.6509,7.875,-23.563,51.313,0.62,1.98,0,0.7207,-0.2706,-0.5834,-0.259,10.125,1.75,-3,0.25,-0.05,0.05
0.5439,-0.0168,0.0538,0.8372,-8.9375,-58.875,14,0.04,1.78,-0.09,0.5714,0.2443,0.4213,0.6605,-0.3125,-15,56.188,0.13,1.42,-0.04,0.7222,-0.2661,-0.5847,-0.2564,19.875,0.0625,-2,0.12,-0.01,0.22
0.5393,-0.0017,0.0411,0.8411,-6.1875,-58.313,21.625,-0.23,1.19,-0.45,0.5596,0.2549,0.4146,0.6709,4,-9.4375,58.375,0.07,0.99,-0.03,0.7245,-0.2576,-0.5878,-0.2513,27.313,-1.6875,-4.25,0.2,-0.04,0.28
0.5317,0.015,0.0326,0.8461,7.3125,-50.188,32.438,0.05,1.45,-0.76,0.5425,0.2674,0.409,0.6833,5.5,-2.3125,58.313,0.3,1.33,0.38,0.7267,-0.2489,-0.5911,-0.246,35.188,-2.875,-5.25,0.13,-0.11,0.2
0.5183,0.0303,0.0226,0.8543,-3.6875,-39.938,39.688,-0.68,0.9,-0.63,0.5284,0.2741,0.4042,0.6944,-2.625,4.8125,57.938,0.11,1.2,0.07,0.7282,-0.2384,-0.5965,-0.239,38.125,-10.438,-5.8125,0.15,0.05,0.13
0.509,0.0388,0.0162,0.8597,-4.75,-39.375,44.313,-0.09,0.94,-1,0.5182,0.2772,0.4002,0.7032,-6.4375,10.938,55.625,-0.01,0.86,0.21,0.7283,-0.2285,-0.6033,-0.2313,40.188,-15.125,-5.8125,0.23,0.05,0.31
0.4955,0.0483,0.008,0.8672,-5.9375,-32.25,48.313,-0.4,0.7,-0.96,0.5021,0.2803,0.397,0.7153,-3.8125,14.313,53.563,0,0.67,-0.16,0.7279,-0.2209,-0.6089,-0.2248,40.125,-15.625,-4.125,0.16,0,0.22
